Age,Revenu,Montant_Credit,Duree_Mois,Score_Credit,Nb_Credits_Prec,Ratio_Dette_Revenu,Statut_Emploi,Niveau_Education,Type_Propriete,Historique_Credit,Objet_Credit,Defaut_Paiement
56,40.81,48.24,32,700,2,8.57,CDI,Master,Propriétaire,Bon,Immobilier,0
69,60.67,45.63,69,455,2,84.25,CDI,Master,Propriétaire,Bon,Immobilier,0
46,56.67,36.35,7,384,4,33.82,CDD,Licence,Propriétaire,Excellent,Professionnel,1
32,142.85,9.35,31,309,2,21.82,CDD,Licence,Propriétaire,Excellent,Automobile,0
60,145.59,17.34,74,437,5,87.15,CDI,Master,Propriétaire,Bon,Automobile,0
25,39.71,19.4,35,455,1,90.21,Indépendant,Bac,Autre,Excellent,Consommation,1
78,17.97,39.34,13,707,7,33.9,Indépendant,Bac,Propriétaire,Excellent,Automobile,0
38,112.2,41.1,43,524,10,35.48,CDI,Licence,Propriétaire,Excellent,Automobile,0
56,71.43,22.33,66,483,10,57.96,CDI,Master,Propriétaire,Bon,Automobile,1
75,26.99,23.8,70,494,8,73.34,Chômeur,Licence,Locataire,Excellent,Immobilier,1
36,107.31,7.0,72,695,6,6.31,CDD,Doctorat,Propriétaire,Bon,Immobilier,0
40,88.59,18.01,51,433,2,59.33,CDI,Bac,Locataire,Mauvais,Immobilier,1
28,147.37,25.31,77,608,10,95.28,CDI,Licence,Locataire,Excellent,Consommation,1
28,45.7,10.26,48,841,9,26.21,CDI,Licence,Autre,Bon,Immobilier,0
41,69.54,25.4,64,308,3,90.88,CDI,Master,Locataire,Acceptable,Automobile,0
70,88.24,43.39,51,469,9,95.02,Indépendant,Bac,Propriétaire,Bon,Automobile,1
53,121.88,31.16,77,589,1,26.92,CDI,Licence,Propriétaire,Excellent,Immobilier,0
57,89.09,8.55,40,467,8,75.42,CDI,Bac,Locataire,Excellent,Professionnel,1
41,97.74,13.63,44,643,4,23.88,CDI,Licence,Propriétaire,Bon,Professionnel,0
20,45.53,26.35,56,796,1,73.76,Indépendant,Master,Propriétaire,Bon,Immobilier,0
39,129.33,21.27,9,444,9,79.74,CDI,Licence,Autre,Excellent,Consommation,1
70,72.87,21.14,82,712,5,24.72,CDI,Master,Locataire,Acceptable,Automobile,0
19,34.03,28.82,56,756,6,71.59,CDD,Master,Locataire,Acceptable,Consommation,1
41,104.67,31.3,10,601,1,81.21,CDI,Bac,Locataire,Bon,Immobilier,1
61,44.17,40.86,60,345,0,35.86,CDI,Master,Locataire,Acceptable,Immobilier,1
47,28.17,20.34,25,316,6,16.77,CDI,Bac,Locataire,Excellent,Consommation,1
55,131.37,41.25,29,659,0,9.2,Indépendant,Bac,Propriétaire,Acceptable,Consommation,0
19,77.12,20.24,41,560,2,57.54,Retraité,Licence,Autre,Excellent,Automobile,0
77,116.15,7.49,39,422,3,97.81,CDI,Master,Propriétaire,Acceptable,Consommation,0
38,54.23,29.94,59,530,1,82.3,CDI,Licence,Locataire,Excellent,Consommation,1
50,121.24,31.46,39,411,6,43.58,CDI,Bac,Propriétaire,Bon,Immobilier,1
29,30.11,47.05,22,545,4,53.66,Indépendant,Master,Propriétaire,Excellent,Immobilier,1
75,63.06,37.67,10,690,0,27.95,CDD,Master,Locataire,Acceptable,Immobilier,0
39,147.04,46.3,23,691,7,16.31,Indépendant,Bac,Propriétaire,Excellent,Consommation,0
78,122.19,45.88,60,627,9,48.21,CDD,Licence,Locataire,Excellent,Professionnel,1
61,82.13,32.21,58,514,6,46.35,Chômeur,Bac,Locataire,Excellent,Automobile,1
42,60.87,28.75,55,666,3,52.19,Chômeur,Licence,Locataire,Excellent,Consommation,1
66,132.74,30.08,77,381,1,95.28,Indépendant,Licence,Propriétaire,Acceptable,Consommation,0
44,88.55,49.02,84,375,6,60.39,CDD,Licence,Propriétaire,Mauvais,Immobilier,1
76,117.39,39.79,50,826,10,60.58,CDI,Bac,Locataire,Acceptable,Immobilier,1
80,116.8,9.78,18,802,1,12.8,CDD,Master,Propriétaire,Acceptable,Automobile,0
59,17.42,40.03,21,778,5,99.65,CDD,Bac,Propriétaire,Excellent,Automobile,0
45,32.04,12.67,18,671,0,77.28,CDD,Licence,Propriétaire,Excellent,Consommation,1
77,104.05,25.13,25,564,6,87.72,CDI,Bac,Locataire,Bon,Immobilier,1
33,36.82,14.47,71,563,6,41.43,CDD,Licence,Locataire,Mauvais,Automobile,1
32,49.49,36.03,52,409,3,50.21,CDD,Bac,Propriétaire,Acceptable,Consommation,1
79,142.8,44.48,24,606,3,52.21,CDD,Licence,Locataire,Bon,Immobilier,1
79,90.62,18.07,50,499,9,19.41,CDI,Licence,Locataire,Excellent,Automobile,0
64,116.35,8.69,42,525,4,68.95,CDI,Bac,Locataire,Excellent,Immobilier,0
79,90.33,18.43,59,484,1,90.3,CDI,Bac,Propriétaire,Bon,Automobile,0
68,89.59,35.26,11,330,8,16.37,Chômeur,Licence,Locataire,Acceptable,Consommation,1
61,27.71,19.79,19,398,9,8.63,CDD,Bac,Propriétaire,Excellent,Immobilier,0
72,61.39,17.52,9,638,3,73.82,CDI,Licence,Locataire,Acceptable,Consommation,1
69,53.13,13.3,60,565,10,27.32,CDI,Licence,Locataire,Mauvais,Immobilier,1
74,67.75,27.39,39,649,8,62.39,CDD,Licence,Locataire,Acceptable,Immobilier,1
20,122.78,17.42,32,843,2,69.58,CDI,Doctorat,Propriétaire,Mauvais,Automobile,1
54,65.21,37.9,12,756,8,32.19,Retraité,Licence,Locataire,Excellent,Consommation,1
68,75.98,8.45,8,387,0,81.51,CDD,Master,Propriétaire,Mauvais,Immobilier,1
24,68.65,34.88,52,362,6,55.0,CDI,Master,Propriétaire,Bon,Immobilier,1
38,27.61,15.69,7,686,3,86.9,CDD,Master,Locataire,Acceptable,Consommation,0
26,74.54,27.02,30,758,6,76.33,CDI,Bac,Locataire,Excellent,Automobile,0
56,41.41,17.87,65,568,9,86.86,Indépendant,Master,Propriétaire,Bon,Immobilier,1
35,40.21,37.52,84,645,5,2.02,CDI,Master,Propriétaire,Excellent,Immobilier,1
21,27.69,47.54,29,377,3,24.35,Retraité,Licence,Propriétaire,Excellent,Consommation,0
42,63.15,46.27,20,664,3,9.0,CDD,Licence,Locataire,Mauvais,Professionnel,1
77,117.26,31.25,19,313,7,44.21,Indépendant,Doctorat,Locataire,Acceptable,Immobilier,1
31,52.32,25.82,59,435,6,89.0,CDI,Licence,Locataire,Bon,Automobile,1
67,57.17,41.82,83,603,3,46.75,CDI,Licence,Propriétaire,Bon,Immobilier,1
75,101.76,35.75,11,696,10,84.97,Indépendant,Master,Autre,Acceptable,Consommation,0
26,41.44,13.26,83,378,5,32.72,CDD,Licence,Locataire,Bon,Immobilier,1
43,136.09,41.94,23,717,5,33.96,CDI,Bac,Locataire,Acceptable,Immobilier,0
70,85.23,24.3,25,541,0,89.56,CDI,Licence,Locataire,Bon,Consommation,1
19,75.43,13.5,67,350,1,42.58,CDI,Licence,Autre,Bon,Immobilier,1
37,90.31,17.68,45,683,3,78.98,CDD,Master,Locataire,Mauvais,Immobilier,1
45,37.41,17.04,44,674,5,23.66,CDI,Licence,Locataire,Bon,Professionnel,1
64,97.82,28.36,57,505,5,94.88,CDI,Master,Propriétaire,Bon,Professionnel,0
77,64.02,15.55,37,788,0,57.46,CDI,Licence,Locataire,Mauvais,Immobilier,0
24,136.12,10.56,78,680,7,75.93,CDI,Licence,Locataire,Mauvais,Automobile,0
61,37.8,10.57,32,610,1,8.95,CDI,Bac,Locataire,Mauvais,Automobile,1
78,83.45,31.25,57,674,4,49.27,Retraité,Licence,Propriétaire,Bon,Automobile,0
25,95.75,38.06,68,341,3,90.1,CDI,Master,Propriétaire,Bon,Professionnel,1
64,19.51,19.47,79,832,4,87.7,Chômeur,Bac,Locataire,Excellent,Consommation,0
52,64.1,6.56,68,821,4,4.68,CDI,Master,Locataire,Excellent,Consommation,0
31,113.91,10.73,22,452,9,30.37,CDI,Bac,Locataire,Acceptable,Immobilier,1
34,125.75,46.16,54,611,7,44.33,CDI,Bac,Propriétaire,Excellent,Automobile,0
53,57.28,27.21,28,593,9,17.23,CDD,Bac,Propriétaire,Bon,Automobile,1
67,122.81,25.41,77,412,6,73.0,CDD,Master,Propriétaire,Mauvais,Immobilier,1
57,145.65,6.71,18,411,8,18.45,CDD,Bac,Propriétaire,Mauvais,Immobilier,1
21,130.68,37.79,28,474,10,34.66,CDI,Licence,Propriétaire,Excellent,Immobilier,0
19,30.88,28.76,62,601,0,66.33,Chômeur,Licence,Locataire,Bon,Immobilier,1
79,114.86,14.09,67,815,5,48.21,Retraité,Licence,Locataire,Acceptable,Immobilier,0
23,58.16,9.95,59,520,5,73.86,CDI,Licence,Propriétaire,Bon,Immobilier,1
71,148.44,22.25,25,470,1,96.12,CDD,Licence,Locataire,Acceptable,Immobilier,1
59,80.52,42.67,57,617,10,11.65,CDD,Master,Locataire,Acceptable,Automobile,0
21,31.53,43.94,28,512,7,70.96,CDI,Licence,Autre,Bon,Automobile,1
71,112.9,32.13,40,552,5,23.03,CDI,Bac,Locataire,Bon,Immobilier,0
46,58.61,37.74,72,423,10,41.45,CDD,Licence,Propriétaire,Bon,Professionnel,0
80,149.61,10.18,39,512,9,3.29,Indépendant,Licence,Propriétaire,Acceptable,Automobile,1
35,147.27,31.47,38,384,8,13.59,CDI,Licence,Propriétaire,Bon,Consommation,1
43,103.58,35.01,51,815,9,31.98,CDD,Master,Locataire,Acceptable,Professionnel,1
61,32.53,14.03,50,364,4,34.2,Chômeur,Master,Locataire,Mauvais,Immobilier,1
51,107.73,44.61,24,617,6,89.96,CDI,Bac,Propriétaire,Bon,Automobile,0
27,27.56,13.77,20,645,5,74.18,CDI,Licence,Locataire,Mauvais,Automobile,1
79,18.96,19.11,83,542,10,97.22,Indépendant,Master,Propriétaire,Bon,Automobile,1
53,126.1,32.93,71,436,4,59.91,CDI,Master,Autre,Acceptable,Immobilier,1
31,43.32,33.73,44,546,5,24.17,CDI,Licence,Propriétaire,Excellent,Consommation,0
48,66.17,36.47,23,740,3,32.77,CDI,Licence,Propriétaire,Bon,Immobilier,0
65,146.42,10.04,75,344,2,31.98,CDI,Master,Propriétaire,Bon,Professionnel,1
32,60.47,43.23,64,388,0,32.65,Chômeur,Licence,Propriétaire,Bon,Consommation,1
25,55.03,28.98,37,527,0,67.3,CDD,Licence,Locataire,Excellent,Automobile,1
31,138.96,26.21,26,590,5,53.08,CDI,Master,Propriétaire,Acceptable,Immobilier,1
40,29.95,49.15,45,721,8,38.54,CDD,Master,Locataire,Bon,Automobile,1
77,117.54,38.32,32,366,7,14.91,Retraité,Bac,Propriétaire,Mauvais,Immobilier,1
74,148.39,10.31,7,550,1,2.21,CDI,Licence,Propriétaire,Bon,Immobilier,0
79,136.67,39.04,44,340,8,21.88,CDI,Licence,Locataire,Excellent,Consommation,0
57,102.98,9.29,61,398,7,10.75,Retraité,Master,Autre,Bon,Automobile,1
38,57.4,6.24,18,605,8,78.54,Retraité,Doctorat,Propriétaire,Mauvais,Automobile,1
33,49.33,23.16,61,755,3,11.25,CDI,Master,Autre,Bon,Consommation,1
62,125.6,49.71,71,600,8,72.42,CDI,Licence,Locataire,Excellent,Immobilier,1
35,133.78,12.87,83,498,1,38.57,CDI,Bac,Propriétaire,Mauvais,Automobile,0
64,85.93,35.27,61,787,0,7.34,CDI,Licence,Locataire,Excellent,Automobile,1
70,47.99,12.8,33,405,8,81.27,CDD,Licence,Propriétaire,Acceptable,Automobile,0
41,30.25,37.62,69,700,9,57.96,CDI,Licence,Propriétaire,Bon,Consommation,1
43,26.77,27.74,76,776,7,23.58,CDI,Licence,Locataire,Bon,Professionnel,1
42,112.08,35.6,69,421,6,89.47,CDD,Licence,Propriétaire,Bon,Automobile,1
77,71.72,14.13,61,376,7,4.53,Retraité,Master,Propriétaire,Mauvais,Automobile,0
77,137.22,38.55,46,611,0,20.18,CDI,Bac,Propriétaire,Mauvais,Automobile,1
77,114.86,49.8,46,411,8,75.2,CDI,Master,Locataire,Bon,Consommation,0
62,40.82,34.95,9,817,9,70.94,Retraité,Licence,Locataire,Bon,Consommation,0
58,97.86,27.21,62,496,10,28.93,CDD,Master,Propriétaire,Excellent,Immobilier,0
46,73.79,46.54,35,397,8,6.2,CDI,Licence,Locataire,Excellent,Immobilier,1
32,92.93,5.71,51,758,10,85.81,CDI,Bac,Propriétaire,Bon,Professionnel,0
62,114.64,37.85,61,529,8,31.37,CDI,Bac,Locataire,Bon,Immobilier,0
18,123.84,44.99,36,467,5,19.57,CDD,Bac,Locataire,Excellent,Automobile,1
42,128.9,7.78,12,307,3,51.61,CDI,Bac,Locataire,Bon,Consommation,0
24,49.29,25.25,82,471,1,91.02,CDI,Master,Locataire,Acceptable,Immobilier,1
26,19.2,14.21,59,659,10,4.35,CDI,Bac,Locataire,Acceptable,Automobile,0
41,114.8,30.49,13,494,3,76.58,CDI,Licence,Propriétaire,Bon,Immobilier,0
18,29.36,34.23,60,568,6,57.25,CDD,Bac,Locataire,Acceptable,Professionnel,1
61,57.51,18.62,74,318,0,42.54,CDI,Licence,Propriétaire,Bon,Immobilier,1
25,15.52,25.7,49,653,8,74.41,CDI,Master,Propriétaire,Bon,Automobile,0
41,107.03,17.57,18,348,2,96.58,Chômeur,Licence,Propriétaire,Acceptable,Automobile,1
80,37.56,21.62,25,763,3,22.92,CDD,Licence,Propriétaire,Acceptable,Consommation,1
28,103.46,12.18,83,655,4,14.36,CDI,Master,Locataire,Bon,Immobilier,0
68,148.89,44.85,37,457,2,91.29,CDD,Bac,Locataire,Bon,Automobile,0
34,24.81,5.45,65,365,3,66.9,CDI,Master,Propriétaire,Mauvais,Immobilier,1
25,25.41,44.71,55,607,4,43.8,Indépendant,Licence,Propriétaire,Bon,Immobilier,1
52,60.95,30.73,32,636,0,57.33,Indépendant,Bac,Propriétaire,Bon,Consommation,1
52,131.96,19.92,30,420,8,74.56,CDD,Licence,Locataire,Acceptable,Immobilier,1
50,44.1,37.54,57,703,9,77.3,Indépendant,Bac,Propriétaire,Excellent,Consommation,1
76,63.65,27.85,73,395,9,91.99,CDI,Master,Propriétaire,Bon,Consommation,0
22,24.25,27.46,26,413,3,42.68,Indépendant,Bac,Locataire,Mauvais,Professionnel,1
59,118.03,9.96,23,728,8,29.34,CDI,Bac,Locataire,Bon,Automobile,0
56,70.12,22.53,44,839,3,63.97,CDI,Licence,Propriétaire,Bon,Immobilier,1
75,117.5,15.85,20,301,0,41.57,Chômeur,Licence,Propriétaire,Bon,Automobile,1
58,136.99,5.71,58,511,4,59.46,CDD,Master,Locataire,Excellent,Professionnel,1
45,46.42,21.2,43,632,8,42.0,Retraité,Bac,Propriétaire,Bon,Consommation,1
24,124.0,9.04,53,323,2,15.3,CDI,Master,Propriétaire,Excellent,Automobile,0
26,22.98,16.56,57,667,4,46.94,CDD,Doctorat,Locataire,Bon,Professionnel,0
25,136.34,9.16,77,805,2,69.09,CDI,Licence,Autre,Bon,Consommation,0
29,102.85,9.54,33,475,2,79.93,CDD,Master,Propriétaire,Bon,Professionnel,1
51,133.02,13.96,21,728,0,49.33,CDI,Licence,Propriétaire,Bon,Consommation,0
50,15.03,49.99,21,741,1,16.52,CDI,Bac,Propriétaire,Excellent,Consommation,1
65,37.83,5.1,40,847,1,41.47,CDI,Licence,Locataire,Bon,Consommation,0
72,67.62,33.74,22,813,8,78.63,Indépendant,Bac,Propriétaire,Bon,Immobilier,0
40,66.23,11.36,78,660,6,41.29,CDI,Doctorat,Locataire,Excellent,Professionnel,0
79,45.61,46.43,57,573,7,69.65,Indépendant,Bac,Locataire,Acceptable,Immobilier,0
41,66.52,9.21,17,476,1,50.72,CDI,Licence,Autre,Acceptable,Automobile,0
54,32.39,47.98,53,563,8,24.12,CDI,Bac,Locataire,Bon,Consommation,1
52,70.72,32.49,27,485,2,79.62,CDI,Licence,Propriétaire,Excellent,Consommation,1
61,123.32,5.06,54,826,9,8.42,Retraité,Bac,Propriétaire,Excellent,Consommation,0
57,79.67,45.23,57,578,1,52.49,CDI,Master,Propriétaire,Bon,Automobile,1
39,17.43,28.48,84,497,0,20.89,CDI,Bac,Locataire,Excellent,Automobile,1
44,71.89,16.82,6,648,8,6.71,Indépendant,Master,Locataire,Excellent,Immobilier,0
52,18.67,39.53,71,720,7,50.29,CDI,Master,Locataire,Bon,Automobile,1
18,145.44,46.7,69,604,10,49.96,Indépendant,Licence,Propriétaire,Mauvais,Consommation,1
52,32.21,26.77,13,363,3,70.69,CDI,Bac,Locataire,Acceptable,Immobilier,1
54,110.54,19.2,30,589,6,74.48,CDD,Bac,Locataire,Acceptable,Automobile,1
64,146.32,40.5,71,317,2,72.78,CDI,Master,Locataire,Excellent,Immobilier,1
31,126.52,35.68,78,363,2,40.96,CDD,Bac,Locataire,Excellent,Consommation,0
20,109.41,44.99,78,629,3,63.17,Indépendant,Bac,Locataire,Excellent,Immobilier,0
18,128.33,36.16,82,316,1,57.69,Indépendant,Licence,Locataire,Mauvais,Consommation,1
22,147.54,15.96,75,742,9,42.16,CDD,Bac,Propriétaire,Bon,Automobile,1
43,98.88,46.92,84,440,3,59.72,Chômeur,Bac,Propriétaire,Bon,Immobilier,1
72,90.49,9.72,56,607,9,94.72,CDI,Licence,Propriétaire,Bon,Consommation,1
80,99.81,17.06,58,743,2,19.29,CDI,Licence,Propriétaire,Acceptable,Automobile,0
